case_id,split,validation_status,query,expected_answer,query_profile,marketing_domain,analysis_task,business_objective,funnel_stage,metric_family,scope_type,temporal_granularity,difficulty,evidence_type,answer_mode,language_style,risk_types,campaign_ref
adversarial.attribution.c0003,tune,needs_review,C0003의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 188건(30d_click), Meta Ads 48건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0003
adversarial.attribution.c0006,tune,needs_review,C0006의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 600건(30d_click), Meta Ads 144건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0006
adversarial.attribution.c0009,holdout,needs_review,C0009의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 1041건(30d_click), Meta Ads 260건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0009
adversarial.attribution.c0012,tune,needs_review,C0012의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 507건(30d_click), Meta Ads 118건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0012
adversarial.attribution.c0015,tune,needs_review,C0015의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 677건(30d_click), Meta Ads 174건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0015
adversarial.attribution.c0018,validation,needs_review,C0018의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 197건(30d_click), Meta Ads 52건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0018
adversarial.attribution.c0021,tune,needs_review,C0021의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 1100건(30d_click), Meta Ads 264건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0021
adversarial.attribution.c0024,tune,needs_review,C0024의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 565건(30d_click), Meta Ads 149건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0024
adversarial.attribution.c0027,validation,needs_review,C0027의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 176건(30d_click), Meta Ads 46건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0027
adversarial.attribution.c0030,holdout,needs_review,C0030의 Google과 Meta 전환 수만 비교해서 더 좋은 채널을 확정해줘,"Google Ads 397건(30d_click), Meta Ads 91건(7d_click+1d_view)으로 귀속 기준이 달라 원시 전환 수만으로 우열을 확정할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,conversion,conversion_efficiency,cross_platform_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,ko_en_mixed,attribution_mismatch,C0030
